MaterialId,Reduced Formula,Elements,Crystal System,Space Group,Bandgap,Formation Energy Per Atom,Decomposition Energy Per Atom,microgravity_advantage_score,seed_score,density_ratio,mp_ratio,mp_compatible,target_sectors
6b98b928f7,Na20Nb2AlInP12,"['Na', 'Al', 'P', 'Nb', 'In']",triclinic,P1,1.2118,-0.4552,-0.0084,58.39,65,8.84,8.68,False,"['semiconductor', 'battery', 'quantum', 'superalloy', 'optical']"
6d20746bdc,Hf3Re2Si2GeOs,"['Si', 'Ge', 'Hf', 'Re', 'Os']",monoclinic,Pm,,-0.7596,-0.0514,58.46,65,9.7,2.86,True,"['semiconductor', 'quantum', 'superalloy', 'optical', 'defense']"
0bf1dc6bf9,Hf2Zr3Nb(ReSi)6,"['Si', 'Zr', 'Nb', 'Hf', 'Re']",monoclinic,Cm,0.0229,-0.7239,-0.014,54.47,65,9.02,2.05,True,"['quantum', 'superalloy', 'optical', 'defense', 'energy']"
24a84315d7,Hf3Zr2Nb(ReSi)6,"['Si', 'Zr', 'Nb', 'Hf', 'Re']",monoclinic,Cm,,-0.7276,-0.0143,54.47,65,9.02,2.05,True,"['quantum', 'superalloy', 'optical', 'defense', 'energy']"
63120d9a5a,Hf4ZrNb(ReSi)6,"['Si', 'Zr', 'Nb', 'Hf', 'Re']",monoclinic,Cm,0.0054,-0.7314,-0.0147,54.47,65,9.02,2.05,True,"['quantum', 'superalloy', 'optical', 'defense', 'energy']"
35a89523a9,HfZrNb(ReSi)3,"['Si', 'Zr', 'Nb', 'Hf', 'Re']",monoclinic,Pm,0.004,-0.6865,-0.0196,54.47,65,9.02,2.05,True,"['quantum', 'superalloy', 'optical', 'defense', 'energy']"
839bb69d21,Ta8SiGe(B2Mo)2,"['B', 'Si', 'Ge', 'Mo', 'Ta']",tetragonal,I422,0.0124,-0.6562,-0.0683,54.48,65,7.15,2.72,True,"['semiconductor', 'quantum', 'superalloy', 'optical', 'defense']"
e2d8e5d777,Y8Nb8Si15GeW4,"['Si', 'Ge', 'Y', 'Nb', 'W']",triclinic,P1,0.0011,-0.7323,-0.0819,54.57,65,8.26,3.05,True,"['semiconductor', 'quantum', 'superalloy', 'optical', 'defense']"
8ef3bb69a8,Y8Nb9Si15GeW3,"['Si', 'Ge', 'Y', 'Nb', 'W']",triclinic,P1,0.0041,-0.7549,-0.0857,54.57,65,8.26,3.05,True,"['semiconductor', 'quantum', 'superalloy', 'optical', 'defense']"
b7f04b994a,Sc8TaNb11Si15As,"['Si', 'Sc', 'As', 'Nb', 'Ta']",triclinic,P1,0.006,-0.8273,-0.0194,54.6,65,7.15,3.02,True,"['semiconductor', 'quantum', 'superalloy', 'optical', 'defense']"
